Student ID,Email,CGPA,Performance,Risk Level,Password
STU0001,student1@university.edu,5.96,Average,Medium,12345
STU0002,student2@university.edu,4.19,Poor,High,(hYm#YmDI|
STU0003,student3@university.edu,9.38,Good,Low,^6@+jX/`A0
STU0004,student4@university.edu,9.39,Good,Low,c8rHRTS*!E
STU0005,student5@university.edu,4.96,Poor,High,W3;1\9r1[&
STU0006,student6@university.edu,5.55,Average,Medium,YG`gX.R5K]
STU0007,student7@university.edu,9.76,Good,Low,~Ql`^:'GJ<
STU0008,student8@university.edu,8.03,Good,Low,HE]'&N*3WS
STU0009,student9@university.edu,7.15,Good,Low,po\I6F<riU
STU0010,student10@university.edu,7.93,Good,Low,6Lvri0n;'}
STU0011,student11@university.edu,5.69,Average,Medium,hhTc8<_8(G
STU0012,student12@university.edu,4.49,Poor,High,~h\TCer?We
STU0013,student13@university.edu,5.65,Average,Medium,nPfcS3lOo2
STU0014,student14@university.edu,4.39,Poor,High,"9R,y""G~^1J"
STU0015,student15@university.edu,8.57,Good,Low,A6VQ%iV`_&
STU0016,student16@university.edu,7.88,Good,Low,xpcQ<fGz*c
STU0017,student17@university.edu,4.34,Poor,High,>IvbvocW!f
STU0018,student18@university.edu,6.11,Average,Medium,_lzg`<ZI~2
STU0019,student19@university.edu,3.96,Poor,High,~+sCf*c~M6
STU0020,student20@university.edu,8.36,Good,Low,GYUa_25fEM
STU0021,student21@university.edu,6.95,Average,Medium,l2o'^Oy7V5
STU0022,student22@university.edu,5.48,Average,Medium,t)CDOSbmmr
STU0023,student23@university.edu,7.25,Good,Low,CWpr>b;{/5
STU0024,student24@university.edu,3.28,Poor,High,A^cU(V-%Mj
STU0025,student25@university.edu,9.04,Good,Low,=H(w=aH&+*
STU0026,student26@university.edu,7.88,Good,Low,"f:kG""iQ/6Z"
STU0027,student27@university.edu,8.05,Good,Low,"i1g~N(3,3b"
STU0028,student28@university.edu,9.6,Good,Low,"z&/$""fH&Z^"
STU0029,student29@university.edu,3.09,Poor,High,Njzj6t5t%o
STU0030,student30@university.edu,8.76,Good,Low,H#+8c03P|x
STU0031,student31@university.edu,3.22,Poor,High,@#ZPIPY}UI
STU0032,student32@university.edu,4.02,Poor,High,KHz+}XD.i1
STU0033,student33@university.edu,4.83,Poor,High,"#1,A{`Y,R2"
STU0034,student34@university.edu,3.38,Poor,High,"A`Ra,+~vJ/"
STU0035,student35@university.edu,7.71,Good,Low,ym+E*Mv{s(
STU0036,student36@university.edu,7.27,Good,Low,5XL)0Wh/oQ
STU0037,student37@university.edu,7.73,Good,Low,IFd'x?`:{\
STU0038,student38@university.edu,3.04,Poor,High,/S@?RRPWK1
STU0039,student39@university.edu,4.1,Poor,High,J*w}i|n8.U
STU0040,student40@university.edu,7.85,Good,Low,xUAW6uON$J
STU0041,student41@university.edu,9.46,Good,Low,"w9f,;"":jLk"
STU0042,student42@university.edu,6.75,Average,Medium,';$A93DToZ
STU0043,student43@university.edu,4.09,Poor,High,EhVioZq[<A
STU0044,student44@university.edu,9.4,Good,Low,kW*gDV\j]P
STU0045,student45@university.edu,9.97,Good,Low,([4#_KWk:5
STU0046,student46@university.edu,9.83,Good,Low,",|'\;-[7!>"
STU0047,student47@university.edu,8.6,Good,Low,w3v:_m2(UP
STU0048,student48@university.edu,7.6,Good,Low,(DzJw;uz]L
STU0049,student49@university.edu,7.96,Good,Low,93ZH9OdX$'
STU0050,student50@university.edu,7.26,Good,Low,|'txU:ZAc^
STU0051,student51@university.edu,6.73,Average,Medium,J$(zq<EecJ
STU0052,student52@university.edu,7.36,Good,Low,v:)YkD+`Lg
STU0053,student53@university.edu,3.77,Poor,High,xNwaqd*|(8
STU0054,student54@university.edu,5.96,Average,Medium,h`qa6Ss+It
STU0055,student55@university.edu,6.69,Average,Medium,S(nK2-M;av
STU0056,student56@university.edu,3.66,Poor,High,3bYd6W=jse
STU0057,student57@university.edu,7.62,Good,Low,Y6<q7sKqGr
STU0058,student58@university.edu,4.55,Poor,High,P2vq}IkL+n
STU0059,student59@university.edu,4.0,Poor,High,?d>m(1MGAd
STU0060,student60@university.edu,5.94,Average,Medium,"Yi`b;,8P<e"
STU0061,student61@university.edu,4.66,Poor,High,O;M&}x=:7/
STU0062,student62@university.edu,5.56,Average,Medium,"YAVl&<HkQ,"
STU0063,student63@university.edu,6.73,Average,Medium,cPwN=^IZBv
STU0064,student64@university.edu,3.66,Poor,High,JxK'/^($vN
STU0065,student65@university.edu,8.35,Good,Low,F!Rr6:jG7H
STU0066,student66@university.edu,6.41,Average,Medium,l3Kl|d!osx
STU0067,student67@university.edu,9.21,Good,Low,"1t""1zm=)Df"
STU0068,student68@university.edu,5.66,Average,Medium,94Mz|[!*|!
STU0069,student69@university.edu,7.51,Good,Low,r6+&W.T*^>
STU0070,student70@university.edu,6.42,Average,Medium,"dTcks""Z>@J"
STU0071,student71@university.edu,4.46,Poor,High,"W,m.eP~!6>"
STU0072,student72@university.edu,8.26,Good,Low,"a('!>""RVQ:"
STU0073,student73@university.edu,9.08,Good,Low,"5c3&""#}UvD"
STU0074,student74@university.edu,7.69,Good,Low,"h7K}|[""OsY"
STU0075,student75@university.edu,9.65,Good,Low,~;w0)&&vBT
STU0076,student76@university.edu,5.65,Average,Medium,fD_|O?#ADv
STU0077,student77@university.edu,4.7,Poor,High,/q6V``r$O4
STU0078,student78@university.edu,9.65,Good,Low,](Y%J%@kG0
STU0079,student79@university.edu,4.54,Poor,High,q})9#(Yerk
STU0080,student80@university.edu,9.06,Good,Low,<=Hd1~uu#I
STU0081,student81@university.edu,6.95,Average,Medium,"W%uh-,narl"
STU0082,student82@university.edu,6.19,Average,Medium,Wpo`06FgD{
STU0083,student83@university.edu,5.65,Average,Medium,ayJXl&aLZD
STU0084,student84@university.edu,9.58,Good,Low,xnZJ~.s@)'
STU0085,student85@university.edu,4.58,Poor,High,r@R#pdiYx]
STU0086,student86@university.edu,4.81,Poor,High,FXH-3!2pWL
STU0087,student87@university.edu,8.41,Good,Low,@CU8&|8]bR
STU0088,student88@university.edu,5.32,Average,Medium,QV?ZgA+IG`
STU0089,student89@university.edu,4.09,Poor,High,^2x}^(E?3$
STU0090,student90@university.edu,7.99,Good,Low,k69Oh`*>[r
STU0091,student91@university.edu,4.2,Poor,High,VC@S|SD`uP
STU0092,student92@university.edu,9.13,Good,Low,^ly:E~t8b<
STU0093,student93@university.edu,3.53,Poor,High,Jr5~pox:?q
STU0094,student94@university.edu,7.84,Good,Low,p3noI2[CNG
STU0095,student95@university.edu,9.1,Good,Low,T`i-myY^%?
STU0096,student96@university.edu,6.78,Average,Medium,em'{qsAE=/
STU0097,student97@university.edu,3.39,Poor,High,!?j{AC{p*^
STU0098,student98@university.edu,7.39,Good,Low,/>%PhVSjI'
STU0099,student99@university.edu,7.52,Good,Low,+_>~>5y&GT
STU0100,student100@university.edu,7.14,Good,Low,CWS6dq|}VR
STU0101,student101@university.edu,5.65,Average,Medium,7;.QXe$(;3
STU0102,student102@university.edu,9.97,Good,Low,&Y'Vm}*k0E
STU0103,student103@university.edu,7.69,Good,Low,"e""nxpyuOgX"
STU0104,student104@university.edu,5.33,Average,Medium,_h>lHd6s5.
STU0105,student105@university.edu,3.9,Poor,High,X5g5!ZpA|g
STU0106,student106@university.edu,4.06,Poor,High,",)]F+771G("
STU0107,student107@university.edu,6.46,Average,Medium,i=^D_F1fqe
STU0108,student108@university.edu,3.74,Poor,High,"%G#~D,mpn{"
STU0109,student109@university.edu,6.47,Average,Medium,y:D?xNO1LW
STU0110,student110@university.edu,7.56,Good,Low,NQZ#3/VVfH
STU0111,student111@university.edu,7.55,Good,Low,Nk$aWF'NYU
STU0112,student112@university.edu,8.78,Good,Low,BWk'9t%8eO
STU0113,student113@university.edu,9.26,Good,Low,ivYP#?l*)M
STU0114,student114@university.edu,4.84,Poor,High,Q.q$2Hn'4V
STU0115,student115@university.edu,8.36,Good,Low,P%tHJMN!{v
STU0116,student116@university.edu,7.8,Good,Low,muYBZ%=cl)
STU0117,student117@university.edu,3.57,Poor,High,'gn/j:)(Gb
STU0118,student118@university.edu,6.93,Average,Medium,\(\debm=Ci
STU0119,student119@university.edu,4.68,Poor,High,Q_gW$^Z{qa
STU0120,student120@university.edu,9.19,Good,Low,iY\DrMHuhb
STU0121,student121@university.edu,5.01,Average,Medium,1\N4_t{+Fq
STU0122,student122@university.edu,6.31,Average,Medium,x;C+&;r'j?
STU0123,student123@university.edu,3.17,Poor,High,n3C0A[O[E1
STU0124,student124@university.edu,6.01,Average,Medium,hTO#RDwA_E
STU0125,student125@university.edu,5.81,Average,Medium,}oB`=AzXyq
STU0126,student126@university.edu,3.86,Poor,High,JJcIm<8a`{
STU0127,student127@university.edu,6.95,Average,Medium,{DM.p;1fl+
STU0128,student128@university.edu,8.05,Good,Low,pS6AdyU(%0
STU0129,student129@university.edu,9.85,Good,Low,J!mzk?&&Z:
STU0130,student130@university.edu,9.96,Good,Low,"$,d7VtQW<F"
STU0131,student131@university.edu,4.35,Poor,High,"=yD""a2B2Sl"
STU0132,student132@university.edu,4.16,Poor,High,KRQB0'kIVV
STU0133,student133@university.edu,7.46,Good,Low,",q_eQoLsP&"
STU0134,student134@university.edu,4.47,Poor,High,p7/TRb~B3:
STU0135,student135@university.edu,7.87,Good,Low,:o[7Fs#]&a
STU0136,student136@university.edu,4.03,Poor,High,B~{lkRl<U6
STU0137,student137@university.edu,7.49,Good,Low,t3M@AY{NmX
STU0138,student138@university.edu,3.25,Poor,High,W7.gN;BXkV
STU0139,student139@university.edu,8.34,Good,Low,g2bRNl7*0|
STU0140,student140@university.edu,4.2,Poor,High,]'dw=L-Z:c
STU0141,student141@university.edu,6.98,Average,Medium,~:q?9-Jp)U
